x,y,z
17.54570,48.54570,9.54570
18.50690,49.50690,10.50690
14.31530,51.31530,8.31530
14.99340,52.99340,8.99340
8.47390,3.47390,2.47390
11.05400,6.05400,5.05400
11.15320,6.15320,5.15320
11.25070,6.25070,5.25070
12.24330,7.24330,6.24330
13.20320,8.20320,7.20320
14.66010,9.66010,8.66010
19.03360,14.03360,13.03360
19.20720,14.20720,13.20720
19.66730,14.66730,13.66730
11.89370,49.89370,6.89370
11.90330,49.90330,6.90330
12.58890,50.58890,7.58890
13.23650,51.23650,8.23650
14.04620,52.04620,9.04620
11.31560,54.31560,9.31560
0.00000,3.00000,0.00000
0.00000,3.48000,0.00000
0.00000,3.50000,0.00000
0.00000,3.52000,0.00000
0.00000,3.54000,0.00000
0.00000,4.56000,0.00000
0.00000,4.57000,0.00000
0.00000,4.58000,0.00000
0.00000,4.59000,0.00000
0.00000,4.60000,0.00000
0.00000,4.61000,0.00000
0.00000,4.63000,0.00000
0.00000,4.66000,0.00000
0.00000,4.67000,0.00000
0.00000,4.68000,0.00000
0.00000,5.69000,0.00000
0.00000,5.71000,0.00000
0.00000,5.75000,0.00000
0.00000,5.80000,0.00000
0.00000,6.81000,0.00000
0.00000,6.82000,0.00000
0.00000,6.83000,0.00000
0.00000,6.84000,0.00000
0.00000,6.85000,0.00000
0.00000,6.86000,0.00000
0.00000,6.87000,0.00000
0.00000,6.88000,0.00000
0.00000,6.89000,0.00000
0.00000,6.91000,0.00000
0.00000,7.92000,0.00000
0.00000,7.93000,0.00000
0.00000,7.96000,0.00000
0.00000,7.97000,0.00000
0.00000,7.98000,0.00000
0.00000,7.10000,0.00000
0.00000,9.10100,0.00000
0.00000,9.10200,0.00000
0.00000,9.10300,0.00000
0.00000,9.10500,0.00000
0.00000,10.00000,0.00000
0.00000,11.00000,0.00000
0.00000,11.11000,0.00000
0.00000,11.11200,0.00000
0.00000,11.11400,0.00000
0.00000,11.11500,0.00000
0.00000,12.00000,0.00000
0.00000,13.13200,0.00000
0.00000,13.13300,0.00000
0.00000,13.13400,0.00000
0.00000,13.13600,0.00000
0.00000,14.00000,0.00000
0.00000,15.00000,0.00000
0.00000,15.14300,0.00000
0.00000,15.14600,0.00000
0.00000,15.14800,0.00000
0.00000,15.15200,0.00000
0.00000,16.00000,0.00000
0.00000,17.00000,0.00000
0.00000,17.15600,0.00000
0.00000,17.15800,0.00000
0.00000,17.16100,0.00000
0.00000,17.16200,0.00000
0.00000,18.00000,0.00000
0.00000,19.16600,0.00000
0.00000,19.16800,0.00000
0.00000,19.16900,0.00000
0.00000,20.00000,0.00000
0.00000,21.17600,0.00000
0.00000,21.17700,0.00000
0.00000,22.00000,0.00000
0.00000,23.17900,0.00000
0.00000,25.00000,0.00000
0.00000,27.00000,0.00000
0.00000,28.00000,0.00000
0.00000,29.00000,0.00000
0.00000,29.18700,0.00000
0.00000,29.18800,0.00000
0.00000,29.19100,0.00000
0.00000,29.19200,0.00000
0.00000,29.19300,0.00000
0.00000,30.00000,0.00000
0.00000,31.00000,0.00000
0.00000,32.00000,0.00000
0.00000,33.00000,0.00000
0.00000,35.00000,0.00000
0.00000,36.00000,0.00000
0.00000,37.00000,0.00000
0.00000,38.00000,0.00000
0.00000,39.00000,0.00000
0.00000,40.00000,0.00000
0.00000,41.00000,0.00000
0.00000,42.00000,0.00000
0.00000,43.00000,0.00000
0.00000,44.00000,0.00000
0.00000,45.00000,0.00000
0.00000,46.00000,0.00000
0.00000,47.00000,0.00000
0.00000,48.00000,0.00000
0.00000,49.00000,0.00000
0.00000,50.00000,0.00000
0.00000,51.00000,0.00000
0.00000,55.00000,0.00000
0.00000,57.00000,0.00000
0.00000,59.00000,0.00000
-1.00000,-1.00000,-149.00000
-1.00000,-1.00000,-148.00000
-1.00000,-1.00000,-147.00000
-1.00000,-1.00000,-146.00000
-1.00000,-1.00000,-145.00000
1.00000,0.00000,0.00000
1.00000,0.29600,0.00000
1.00000,0.29800,0.00000
1.00000,0.30700,0.00000
1.00000,0.30800,0.00000
1.00000,2.00000,0.00000
1.00000,4.00000,0.00000
1.00000,6.00000,0.00000
1.00000,8.00000,0.00000
1.00000,9.00000,0.00000
1.00000,10.00000,0.00000
1.00000,11.00000,0.00000
1.00000,12.00000,0.00000
1.00000,13.00000,0.00000
1.00000,15.00000,0.00000
1.00000,16.00000,0.00000
1.00000,17.00000,0.00000
1.00000,19.00000,0.00000
1.00000,20.00000,0.00000
1.00000,21.00000,0.00000
1.00000,22.00000,0.00000
1.00000,23.00000,0.00000
1.00000,24.00000,0.00000
1.00000,25.00000,0.00000
1.00000,26.00000,0.00000
1.00000,27.00000,0.00000
1.00000,28.00000,0.00000
1.00000,29.00000,0.00000
1.00000,30.00000,0.00000
1.00000,31.00000,0.00000
1.00000,32.00000,0.00000
1.00000,33.00000,0.00000
1.00000,34.00000,0.00000
1.00000,35.00000,0.00000
1.00000,36.00000,0.00000
1.00000,37.00000,0.00000
1.00000,38.00000,0.00000
1.00000,39.00000,0.00000
1.00000,40.00000,0.00000
1.00000,42.00000,0.00000
-1.00000,-1.00000,-144.00000
-1.00000,-1.00000,-143.00000
-1.00000,-1.00000,-142.00000
-1.00000,-1.00000,-141.00000
-1.00000,-1.00000,-140.00000
-1.00000,-1.00000,-139.00000
2.00000,0.00000,0.00000
2.00000,0.45500,0.00000
2.00000,0.45700,0.00000
2.00000,0.45800,0.00000
2.00000,0.45900,0.00000
2.00000,0.46000,0.00000
2.00000,0.46100,0.00000
2.00000,0.46200,0.00000
2.00000,0.46300,0.00000
2.00000,0.46400,0.00000
2.00000,0.46600,0.00000
2.00000,1.00000,0.00000
2.00000,2.00000,0.00000
2.00000,3.00000,0.00000
2.00000,4.00000,0.00000
2.00000,5.00000,0.00000
2.00000,6.00000,0.00000
2.00000,7.00000,0.00000
2.00000,8.00000,0.00000
2.00000,9.00000,0.00000
2.00000,10.00000,0.00000
2.00000,11.00000,0.00000
2.00000,12.00000,0.00000
2.00000,13.00000,0.00000
2.00000,14.00000,0.00000
2.00000,15.00000,0.00000
2.00000,16.00000,0.00000
2.00000,17.00000,0.00000
2.00000,18.00000,0.00000
2.00000,19.00000,0.00000
2.00000,20.00000,0.00000
2.00000,21.00000,0.00000
2.00000,22.00000,0.00000
2.00000,23.00000,0.00000
2.00000,24.00000,0.00000
2.00000,25.00000,0.00000
2.00000,26.00000,0.00000
2.00000,27.00000,0.00000
2.00000,28.00000,0.00000
2.00000,29.00000,0.00000
2.00000,30.00000,0.00000
2.00000,31.00000,0.00000
2.00000,32.00000,0.00000
2.00000,33.00000,0.00000
2.00000,34.00000,0.00000
2.00000,35.00000,0.00000
2.00000,36.00000,0.00000
2.00000,38.00000,0.00000
2.00000,39.00000,0.00000
2.00000,40.00000,0.00000
2.00000,42.00000,0.00000
2.00000,43.00000,0.00000
2.00000,44.00000,0.00000
2.00000,45.00000,0.00000
2.00000,46.00000,0.00000
-1.00000,-1.00000,-138.00000
3.00000,0.00000,0.00000
3.00000,1.00000,0.00000
3.00000,2.00000,0.00000
3.00000,3.00000,0.00000
3.00000,4.00000,0.00000
3.00000,5.00000,0.00000
3.00000,6.00000,0.00000
3.00000,7.00000,0.00000
3.00000,8.00000,0.00000
3.00000,9.00000,0.00000
3.00000,0.59800,0.00000
3.00000,10.00000,0.00000
3.00000,12.00000,0.00000
3.00000,13.00000,0.00000
3.00000,14.00000,0.00000
3.00000,15.00000,0.00000
3.00000,16.00000,0.00000
3.00000,17.00000,0.00000
3.00000,18.00000,0.00000
3.00000,19.00000,0.00000
3.00000,20.00000,0.00000
3.00000,21.00000,0.00000
3.00000,22.00000,0.00000
3.00000,23.00000,0.00000
3.88520,22.88520,0.88520
3.00000,25.00000,0.00000
4.88230,23.88230,1.88230
3.00000,27.00000,0.00000
5.08650,24.08650,2.08650
3.00000,29.00000,0.00000
5.54410,24.54410,2.54410
3.00000,31.00000,0.00000
5.64590,24.64590,2.64590
3.00000,33.00000,0.00000
6.60200,25.60200,3.60200
3.00000,35.00000,0.00000
7.33510,26.33510,4.33510
3.00000,37.00000,0.00000
7.57940,26.57940,4.57940
3.00000,39.00000,0.00000
8.37450,27.37450,5.37450
3.00000,41.00000,0.00000
9.33980,28.33980,6.33980
3.00000,43.00000,0.00000
3.00000,44.00000,0.00000
3.00000,45.00000,0.00000
-1.00000,-1.00000,-137.00000
4.00000,0.00000,0.00000
4.00000,0.69700,0.00000
4.00000,1.00000,0.00000
4.00000,2.00000,0.00000
4.00000,3.00000,0.00000
4.00000,4.00000,0.00000
4.00000,5.00000,0.00000
4.00000,6.00000,0.00000
4.00000,7.00000,0.00000
4.00000,8.00000,0.00000
4.00000,9.00000,0.00000
